reseau;station;trafic;corr_1;corr_2;corr_3;corr_4;corr_5;ville ;arrdt
METRO;ALESIA;4764374;4;;;;;PARIS;14
METRO;TROCADERO;9327124;6;9;;;;PARIS;16
METRO;PYRENEES;2920049;11;;;;;PARIS;20
METRO;BERCY;6311543;6;14;;;;PARIS;12
METRO;GUY MOQUET;4004960;13;;;;;PARIS;17
METRO;PASTEUR;4493457;6;12;;;;PARIS;9
METRO;BARBES-ROCHECHOUART;7974496;2;4;;;;PARIS;18
METRO;ROME;2753714;2;;;;;PARIS;17
METRO;PORTE DE VERSAILLES;5823995;12;;;;;PARIS;15
METRO;BLANCHE;3893362;2;;;;;PARIS;9
METRO;ALMA-MARCEAU;4382709;9;;;;;PARIS;8
METRO;LA MOTTE-PICQUET-GRENELLE;7958383;6;8;10;;;PARIS;15
METRO;GAITE;2713799;13;;;;;PARIS;14
METRO;PORTE DE PANTIN;5615256;5;;;;;PARIS;19
METRO;LEDRU-ROLLIN;3777270;8;;;;;PARIS;12
METRO;DENFERT-ROCHEREAU;3911586;4;6;B;;;PARIS;14
METRO;BOBIGNY-PABLO PICASSO;7879929;5;;;;;BOBIGNY;
METRO;LAMARCK-CAULAINCOURT;2704202;12;;;;;PARIS;18
METRO;ODEON;5600764;4;10;;;;PARIS;6
METRO;BERAULT;3656859;1;;;;;VINCENNES;
METRO;LES COURTILLES;3886523;13;;;;;ASNIÈRES SUR SEINE;
METRO;CHAUSSEE D'ANTIN-LA FAYETTE;7312371;7;9;;;;PARIS;9
METRO;MARAICHERS;2608017;9;;;;;PARIS;20
METRO;CONVENTION;5275717;12;;;;;PARIS;15
METRO;PORTE DES LILAS;3439385;3bis;11;;;;PARIS;20
METRO;CHATEAU D'EAU;3878260;4;;;;;PARIS;10
METRO;CHATILLON-MONTROUGE;7196503;13;;;;;CHATILLON;
METRO;RUE DES BOULETS;2583609;9;;;;;PARIS;11
METRO;PORTE DE SAINT-CLOUD;5174694;9;;;;;PARIS;16
METRO;CENSIER-DAUBENTON;3385284;7;;;;;PARIS;6
METRO;CHARONNE;3652338;9;;;;;PARIS;12
METRO;PONT DE NEUILLY;6902027;1;;;;;NEUILLY SUR SEINE;
METRO;DUGOMMIER;2579556;6;;;;;PARIS;12
METRO;PONT DE SEVRES;5048247;9;;;;;BOULOGNE BILLANCOURT;
METRO;MARX DORMOY;3359946;12;;;;;PARIS;18
METRO;DUROC;3596220;10;13;;;;PARIS;7
METRO;GAMBETTA;6798910;3;3bis;;;;PARIS;20
METRO;LA FOURCHE;2563103;13;;;;;PARIS;8
METRO;VOLTAIRE;4975145;9;;;;;PARIS;11
METRO;TERNES;3329214;2;;;;;PARIS;17
METRO;CRETEIL-UNIVERSITE;3536972;8;;;;;CRÉTEIL;
METRO;INVALIDES;6540934;8;13;C;;;PARIS;7
METRO;COURCELLES;2557929;2;;;;;PARIS;17
METRO;MAIRIE DES LILAS;4436148;11;;;;;LES LILAS;
METRO;FAIDHERBE-CHALIGNY;3032239;8;;;;;PARIS;12
METRO;MALAKOFF-PLATEAU DE VANVES;3454231;13;;;;;MALAKOFF;
METRO;SAINT-PAUL;6502842;1;;;;;PARIS;4
METRO;NATIONALE;2497964;6;;;;;PARIS;13
METRO;PORTE DE MONTREUIL;4344016;9;;;;;PARIS;20
METRO;CHARENTON-ECOLES;2984929;8;;;;;CHARENTON;
METRO;CORENTIN CELTON;3438335;12;;;;;ISSY LES MOULINEAUX;
METRO;LA COURNEUVE-8 MAI 1945;5886507;7;;;;;LA COURNEUVE;
METRO;JACQUES BONSERGENT;2477876;5;;;;;PARIS;10
METRO;JUSSIEU;4328012;7;10;;;;PARIS;5
METRO;BROCHANT;2984525;13;;;;;PARIS;17
METRO;SENTIER;3420249;3;;;;;PARIS;3
METRO;ANVERS;5643147;2;;;;;PARIS;18
METRO;PORTE DE LA CHAPELLE;2379751;12;;;;;PARIS;18
METRO;BASILIQUE DE SAINT-DENIS;4311590;13;;;;;SAINT DENIS;
METRO;BOBIGNY-PANTIN-RAYMOND QUENEAU;2951030;5;;;;;PANTIN;
METRO;BOURSE;3386481;3;;;;;PARIS;2
METRO;BALARD;5626040;8;;;;;PARIS;15
METRO;MAISONS-ALFORT-STADE;2330375;8;;;;;MAISONS -ALFORT;
METRO;ROBESPIERRE;4221091;9;;;;;MONTREUIL;
METRO;PORTE DAUPHINE;2932159;2;;;;;PARIS;16
METRO;SAINT-PLACIDE;3304968;4;;;;;PARIS;6
METRO;CRIMEE;5431969;7;;;;;PARIS;19
METRO;RIQUET;2312581;7;;;;;PARIS;19
METRO;MAIRIE D'ISSY;4096487;12;;;;;ISSY LES MOULINEAUX;
METRO;COURONNES;2897777;2;;;;;PARIS;11
METRO;RAMBUTEAU;3219510;11;;;;;PARIS;3
METRO;HOCHE;4995902;5;;;;;PANTIN;
METRO;CLUNY LA SORBONNE;2232036;10;;;;;PARIS;5
